Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,789.0,805.0,786.7999877929688,801.0,799.35546875,15521649
2022-09-13,805.0,808.9500122070312,803.1500244140625,805.5499877929688,803.8961791992188,9887516
2022-09-14,794.4000244140625,811.3499755859375,794.4000244140625,803.0499877929688,801.4013061523438,10494713
2022-09-15,805.5,806.5,787.6500244140625,790.0,788.3781127929688,5996899
2022-09-16,786.0499877929688,792.5999755859375,776.0999755859375,789.2999877929688,787.6795654296875,11467351
2022-09-19,789.2999877929688,802.0,786.7000122070312,798.0999755859375,796.46142578125,11427799
2022-09-20,806.7999877929688,816.2000122070312,802.0,812.75,811.0813598632812,8274079
2022-09-21,809.25,816.0,803.3499755859375,806.5499877929688,804.8941040039062,6567084
2022-09-22,805.0,808.7999877929688,784.2999877929688,789.2000122070312,787.5797119140625,7804275
2022-09-23,789.0,789.0,764.25,768.5999755859375,767.0220336914062,10278805
2022-09-26,759.0,763.5,741.0,742.5999755859375,741.0753784179688,11090327
2022-09-27,746.3499755859375,754.1500244140625,730.5,737.5,735.9859008789062,11358306
2022-09-28,733.9000244140625,733.9000244140625,707.7000122070312,716.4500122070312,714.9791259765625,13170668
2022-09-29,722.25,730.7999877929688,711.0,719.0,717.5238647460938,12090981
2022-09-30,720.0,737.75,714.4000244140625,733.2000122070312,731.6947631835938,9536017
2022-10-03,731.0,742.0,721.0499877929688,722.75,721.2661743164062,6405645
2022-10-04,733.4000244140625,744.5,732.0,742.7999877929688,741.2749633789062,5438934
2022-10-06,750.0,760.4000244140625,746.0,755.0999755859375,753.5496826171875,9376433
2022-10-07,753.7999877929688,757.5,742.2999877929688,755.7000122070312,754.1484985351562,7500540
2022-10-10,748.0,778.7000122070312,745.0,776.8499755859375,775.2550659179688,14106654
2022-10-11,780.0,795.5,774.5,785.5499877929688,783.9371948242188,15953495
2022-10-12,789.5,810.7999877929688,783.4500122070312,808.7000122070312,807.0397338867188,21228018
2022-10-13,807.0,814.9500122070312,795.5999755859375,802.0,800.3534545898438,13024911
2022-10-14,815.5499877929688,820.7000122070312,794.4500122070312,800.5,798.8565673828125,8220645
2022-10-17,803.5,817.0,797.0999755859375,814.1500244140625,812.478515625,9463827
2022-10-18,820.0,822.9000244140625,811.5499877929688,816.3499755859375,814.6739501953125,8470882
2022-10-19,818.4500122070312,838.4500122070312,816.9000244140625,829.8499755859375,828.146240234375,10868663
2022-10-20,824.9000244140625,831.9000244140625,816.9500122070312,825.8499755859375,824.1544799804688,11813817
2022-10-21,860.0999755859375,906.0,855.8499755859375,900.4000244140625,898.5514526367188,58057724
2022-10-24,916.0,918.4500122070312,905.0,909.4500122070312,907.5828857421875,3085307
2022-10-25,905.7000122070312,910.5999755859375,891.5999755859375,902.8499755859375,900.9963989257812,13187308
2022-10-27,909.0,919.9500122070312,901.25,915.1500244140625,913.2711791992188,11967044
2022-10-28,915.0,917.9500122070312,898.9000244140625,903.0499877929688,901.1959838867188,7320207
2022-10-31,908.0,918.0,902.0999755859375,906.0,904.1399536132812,9038777
2022-11-01,904.0,904.0,869.0,871.75,869.9602661132812,29191921
2022-11-02,875.0,877.0,861.5999755859375,863.5499877929688,861.777099609375,11029140
2022-11-03,857.9000244140625,880.4000244140625,856.0,864.0499877929688,862.2760009765625,10185978
2022-11-04,869.0,872.9000244140625,862.2999877929688,868.0999755859375,866.3177490234375,7323879
2022-11-07,876.25,876.7999877929688,861.2999877929688,872.9500122070312,871.1578369140625,9931261
2022-11-09,875.0499877929688,880.75,868.5,873.7000122070312,871.90625,10190209
2022-11-10,843.7000122070312,856.7000122070312,841.0,843.7000122070312,841.9678344726562,18956575
2022-11-11,847.0,854.7000122070312,844.1500244140625,850.7000122070312,848.9534912109375,19329819
2022-11-14,850.5,853.9000244140625,847.3499755859375,851.0,849.2528686523438,6985306
2022-11-15,851.25,859.8499755859375,847.2000122070312,858.6500244140625,856.88720703125,7124767
2022-11-16,858.0,861.5999755859375,850.5999755859375,855.4000244140625,853.6438598632812,6521854
2022-11-17,855.4000244140625,861.4000244140625,852.7000122070312,858.2000122070312,856.4381103515625,4909607
2022-11-18,859.2999877929688,865.7999877929688,855.0,859.2000122070312,857.43603515625,7065304
2022-11-21,860.0,870.9500122070312,859.0,870.0499877929688,868.2637329101562,7209207
2022-11-22,874.9500122070312,877.0,868.3499755859375,870.0499877929688,868.2637329101562,5535233
2022-11-23,873.9000244140625,877.7999877929688,868.75,874.7000122070312,872.9042358398438,5861417
2022-11-24,878.0,880.7999877929688,873.0999755859375,878.5499877929688,876.746337890625,4928778
2022-11-25,883.0,891.7999877929688,880.9000244140625,887.75,885.9274291992188,7614047
2022-11-28,887.7000122070312,899.5,885.2999877929688,891.7000122070312,889.8693237304688,7928147
2022-11-29,894.4000244140625,901.9000244140625,890.0,892.5499877929688,890.717529296875,5661158
2022-11-30,895.0,905.0999755859375,885.4500122070312,901.25,899.3997192382812,10452798
2022-12-01,909.5,909.5,899.5,903.8499755859375,901.9943237304688,7053100
2022-12-02,898.2999877929688,907.0,891.4000244140625,905.1500244140625,903.291748046875,7988851
2022-12-05,907.0,907.2999877929688,897.5999755859375,899.2000122070312,897.3539428710938,5098164
2022-12-06,897.5,906.9000244140625,895.7000122070312,904.6500244140625,902.792724609375,5351099
2022-12-07,902.7999877929688,918.0,899.8499755859375,914.6500244140625,912.772216796875,9103656
2022-12-08,915.6500244140625,943.9500122070312,913.75,939.3499755859375,937.4214477539062,17466047
2022-12-09,944.0,945.0,927.5999755859375,933.7000122070312,931.7830810546875,8018981
2022-12-12,929.9000244140625,941.1500244140625,922.0,938.6500244140625,936.7229614257812,7621788
2022-12-13,940.2000122070312,949.2999877929688,936.5999755859375,944.5999755859375,942.66064453125,8136559
2022-12-14,945.6500244140625,950.1500244140625,938.5,942.4000244140625,940.4652099609375,8573479
2022-12-15,939.75,944.9500122070312,932.5999755859375,938.1500244140625,936.2239379882812,7359261
2022-12-16,932.25,945.2000122070312,929.0999755859375,935.0999755859375,933.18017578125,6926928
2022-12-19,935.0999755859375,948.0999755859375,932.4000244140625,946.2000122070312,944.2574462890625,4842336
2022-12-20,943.75,952.75,940.4500122070312,949.75,947.8001708984375,9511818
2022-12-21,953.0999755859375,958.9000244140625,928.0,932.2999877929688,930.385986328125,8368960
2022-12-22,936.0,936.0,912.9500122070312,919.5499877929688,917.662109375,9202717
2022-12-23,912.0,917.25,904.0,906.5999755859375,904.7387084960938,6371695
2022-12-26,908.0,932.9500122070312,905.0999755859375,928.7000122070312,926.7933959960938,4764440
2022-12-27,932.4500122070312,937.7999877929688,922.5999755859375,932.2000122070312,930.2861328125,3346083
2022-12-28,930.9500122070312,937.4500122070312,921.2999877929688,924.7000122070312,922.8015747070312,5956496
2022-12-29,922.7999877929688,944.0,915.7999877929688,934.5499877929688,932.6312866210938,12204113
2022-12-30,941.25,943.5,930.3499755859375,933.75,931.8330078125,3704449
2023-01-02,932.25,945.0,931.7999877929688,941.5999755859375,939.6668701171875,3498198
2023-01-03,944.75,965.5999755859375,942.5999755859375,962.2999877929688,960.3243408203125,6927819
2023-01-04,963.5,970.0,955.0,957.4500122070312,955.4843139648438,9059392
2023-01-05,960.0,961.9000244140625,938.25,949.5499877929688,947.6005249023438,6998980
2023-01-06,946.5499877929688,950.9500122070312,934.2999877929688,939.9000244140625,937.9703979492188,5787783
2023-01-09,946.7999877929688,960.0,941.3499755859375,958.75,956.7816162109375,7025747
2023-01-10,964.0,964.0,942.75,952.1500244140625,950.1952514648438,7140150
2023-01-11,953.0,955.75,942.7999877929688,949.75,947.8001708984375,7100355
2023-01-12,949.3499755859375,949.7000122070312,924.0,935.5499877929688,933.6292114257812,8661375
2023-01-13,935.5,937.4500122070312,923.0,934.1500244140625,932.232177734375,9083608
2023-01-16,940.4500122070312,941.75,911.7000122070312,913.1500244140625,911.2752685546875,10008273
